type,ndcnum,Strength_Per_Unit,MME_Conversion_Factor
Codeine,43063076315,15,0.15
Codeine,00031625763,30,0.15
Codeine,00031625770,30,0.15
Codeine,00031627463,60,0.15
Codeine,00045051160,15,0.15
Codeine,00045051172,15,0.15
Codeine,00045051360,30,0.15
Codeine,00045051370,30,0.15
Codeine,00045051372,30,0.15
Codeine,00045051380,30,0.15
Codeine,00045051560,60,0.15
Codeine,00045051570,60,0.15
Codeine,00045051572,60,0.15
Codeine,00047063424,15,0.15
Codeine,00047063532,30,0.15
Codeine,00047063724,60,0.15
Codeine,00054300563,2.4,0.15
Codeine,00054402231,30,0.15
Codeine,00054800204,2.4,0.15
Codeine,00054801304,2.4,0.15
Codeine,00054801704,2.4,0.15
Codeine,00054802224,30,0.15
Codeine,00054802225,30,0.15
Codeine,00086004616,2.4,0.15
Codeine,00093005001,15,0.15
Codeine,00093005010,15,0.15
Codeine,00093015001,30,0.15
Codeine,00093015010,30,0.15
Codeine,00093015093,30,0.15
Codeine,00093035001,60,0.15
Codeine,00093035005,60,0.15
Codeine,00093035010,60,0.15
Codeine,00121050404,2.4,0.15
Codeine,00121050405,2.4,0.15
Codeine,00121050410,2.4,0.15
Codeine,00121050412,2.4,0.15
Codeine,00121050415,2.4,0.15
Codeine,00121050416,2.4,0.15
Codeine,00182094801,30,0.15
Codeine,00182094810,30,0.15
Codeine,00182094889,30,0.15
Codeine,00182126801,15,0.15
Codeine,00182133801,60,0.15
Codeine,00182133805,60,0.15
Codeine,00182133889,60,0.15
Codeine,00187000301,2.4,0.15
Codeine,00228200110,30,0.15
Codeine,00228200196,30,0.15
Codeine,00228200310,60,0.15
Codeine,00228200350,60,0.15
Codeine,00228302010,30,0.15
Codeine,00228302096,30,0.15
Codeine,00228302110,60,0.15
Codeine,00228302150,60,0.15
Codeine,00228305611,30,0.15
Codeine,00228305696,30,0.15
Codeine,00228305811,60,0.15
Codeine,00228305850,60,0.15
Codeine,00254206328,15,0.15
Codeine,00254206428,30,0.15
Codeine,00254206438,30,0.15
Codeine,00254206528,60,0.15
Codeine,00254206535,60,0.15
Codeine,00349211801,15,0.15
